t=1688: [[0.173251, 0.213251], [-1.994707, -1.954707]]
t=1694: [[0.060070, 0.100070], [-2.116622, -2.076622]]
t=1711: [[-0.305095, -0.265095], [-2.461694, -2.421694]]
t=1740: [[-1.039638, -0.999638], [-2.662185, -2.622185]]
t=1744: [[-1.139813, -1.099813], [-2.601891, -2.561891]]
t=1750: [[-1.287404, -1.247404], [-2.463293, -2.423293]]
t=1806: [[-1.971762, -1.931762], [-0.242690, -0.202690]]
t=1815: [[-1.971884, -1.931884], [-0.026561, 0.013439]]
t=1858: [[-1.796927, -1.756927], [0.510360, 0.550360]]
t=1860: [[-1.783734, -1.743734], [0.526158, 0.566158]]
t=1891: [[-1.556192, -1.516192], [0.722795, 0.762795]]
t=1918: [[-1.306336, -1.266336], [0.907170, 0.947170]]
t=1946: [[-0.986171, -0.946171], [1.174511, 1.214511]]
t=1957: [[-0.834676, -0.794676], [1.310863, 1.350863]]
t=1959: [[-0.805890, -0.765890], [1.337478, 1.377478]]
t=1994: [[-0.189651, -0.149651], [1.968977, 2.008977]]
