t=1027: [[0.131602, 0.171602], [0.537225, 0.577225]]
t=1031: [[0.130720, 0.170720], [0.535881, 0.575881]]
t=1035: [[0.129742, 0.169742], [0.535729, 0.575729]]
t=1049: [[0.125390, 0.165390], [0.535618, 0.575618]]
t=1058: [[0.129978, 0.169978], [0.536561, 0.576561]]
t=1060: [[0.130000, 0.170000], [0.537323, 0.577323]]
t=1064: [[0.129180, 0.169180], [0.537577, 0.577577]]
t=1072: [[0.129455, 0.169455], [0.537424, 0.577424]]
t=1074: [[0.130034, 0.170034], [0.537746, 0.577746]]
t=1078: [[0.130904, 0.170904], [0.538434, 0.578434]]
t=1092: [[0.135672, 0.175672], [0.539611, 0.579611]]
t=1094: [[0.135054, 0.175054], [0.538901, 0.578901]]
t=1102: [[0.135868, 0.175868], [0.536882, 0.576882]]
t=1123: [[0.134345, 0.174345], [0.535242, 0.575242]]
t=1126: [[0.135619, 0.175619], [0.535291, 0.575291]]
t=1138: [[0.134552, 0.174552], [0.537245, 0.577245]]
t=1141: [[0.134108, 0.174108], [0.538550, 0.578550]]
t=1142: [[0.134624, 0.174624], [0.537657, 0.577657]]
t=1146: [[0.137111, 0.177111], [0.540357, 0.580357]]
t=1160: [[0.139823, 0.179823], [0.542701, 0.582701]]
t=1163: [[0.140178, 0.180178], [0.544257, 0.584257]]
t=1167: [[0.140752, 0.180752], [0.545235, 0.585235]]
t=1172: [[0.137927, 0.177927], [0.546804, 0.586804]]
t=1173: [[0.138715, 0.178715], [0.546875, 0.586875]]
t=1180: [[0.136517, 0.176517], [0.546708, 0.586708]]
t=1181: [[0.137249, 0.177249], [0.547111, 0.587111]]
t=1189: [[0.138235, 0.178235], [0.547724, 0.587724]]
t=1190: [[0.137720, 0.177720], [0.547978, 0.587978]]
t=1195: [[0.138071, 0.178071], [0.547885, 0.587885]]
t=1205: [[0.137473, 0.177473], [0.549128, 0.589128]]
t=1207: [[0.138005, 0.178005], [0.549006, 0.589006]]
t=1211: [[0.139695, 0.179695], [0.547745, 0.587745]]
t=1214: [[0.138108, 0.178108], [0.548197, 0.588197]]
t=1217: [[0.138527, 0.178527], [0.549639, 0.589639]]
t=1219: [[0.139455, 0.179455], [0.548585, 0.588585]]
